Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
AGROPASTORIL JOTABASSO LTDA.;AGROPASTORIL;915314;87700746000196;Não Classificados;N/A
AGROPECUARIA PINGUIM S.A.;AGRO PINGUIM;519251;2671917000143;Carga Inicial;N/A
AGROVIA DO NORDESTE S.A.;AGROVIA;900134;18510603000107;Não Classificados;N/A
AGUA LIMPA ENERGIA S/A;AGUA LIMPA E;911875;7321289000190;Não Classificados;N/A
AGUA VERMELHA TRANSMISSORA DE ENERGIA S.A;AGUAVERMELHA;916175;26855869000101;Não Classificados;N/A
AGUAS CUIABA S/A - CONCESSIONARIA DE SERVICOS PUBL;AGUASCUIABA;901421;14995581000153;Não Classificados;N/A
ÁGUAS DA IMPERATRIZ S.A;AGUAS IMPERA;900099;39523638000142;Não Classificados;N/A
AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. ;AGUA BOMBINH;900421;26025075000110;Não Classificados;N/A
AGUAS DE CAMBORIU SANEAMENTO SPE S.A.;CAMBORIUSPE;900084;23397533000154;Não Classificados;N/A
AGUAS DE GOVERNADOR VALADARES SPE S.A.;AGUAS VALAD;900182;53667104000110;Não Classificados;N/A
AGUAS DE NITEROI S.A.;NITEROI;900142;2150336000166;Não Classificados;N/A
AGUAS DE NOVA FRIBURGO LTDA.;AGUASNOVAFRI;916730;3119806000191;Não Classificados;N/A
AGUAS DE PALHOCA S.A. ;AGUAS PALHOC;900455;57341135000138;Não Classificados;N/A
AGUAS DE PENHA SANEAMENTO SPE S.A.;PENHASPE;900324;23486042000180;Não Classificados;N/A
AGUAS DE SAO FRANCISCO DO SUL SPE S.A.;AGUASSAOFRAN;900175;21180700000185;Não Classificados;N/A
AGUAS DE SINOP S A;SINOP;900480;20930953000166;Não Classificados;N/A
AGUAS DE TERESINA SANEAMENTO  SPE  S.A.;AGUASTERESIN;25615;27157474000106;Não Classificados;N/A
AGUAS DE TIMON SANEAMENTO S.A.;TIMONSAN;900183;21716748000165;Não Classificados;N/A
AGUAS DO IMPERADOR S.A.;AGUASIMPERAD;916722;2150327000175;Não Classificados;N/A
AGUAS DO PARAIBA S/A;AGUASPARAIBA;900159;1280003000199;Não Classificados;N/A
AGUAS DO PIAUI SPE S.A.;PIAUI SPE;900528;58425324000151;Não Classificados;N/A
ÁGUAS DO RIO 1 SPE S.A.;AGUAS RIO 1;26735;42310775000103;Não Classificados;N/A
ÁGUAS DO RIO 4 SPE S.A.;AGUAS RIO 4;26743;42644220000106;Não Classificados;N/A
ÁGUAS DO SERTÃO S.A.;AGUASSERTAO;27359;45456117000112;Água e Saneamento;N/A
AGUAS GUARIROBA S.A.;GUARIROBA;23442;4089570000150;Não Classificados;N/A
ÁGUIA BRANCA PARTICIPAÇÕES S.A.;ÁGUIABRANCA;917498;31469364000149;Não Classificados;N/A
AGUIA SECURITIZACAO DE RECEBIVEIS S/A ;AGUIA SECURI;900507;36361221000132;Não Classificados;N/A
AK 24 EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;AK 24 EMPREE;914671;13149157000125;Não Classificados;N/A
ALBIOMA CODORA ENERGIA S.A.;ALBIOMAENERG;916846;7966116000129;Não Classificados;N/A
ALBIOMA SOLAR BRASIL LTDA;ALBIOMASOLA;917502;46731060000185;Não Classificados;N/A
ALCOESTE BIOENERGIA FERNANDÓPOLIS S.A.;ALCOESTE;913764;43545284000104;Não Classificados;N/A
ALDO COMPONENTES ELETRONICOS S/A;ALDOCOMPONEN;917179;81106957000119;Não Classificados;N/A
ALESAT COMBUSTIVEIS  S/A;ALESAT;900209;23314594000100;Não Classificados;N/A
ALEX ENERGIA PARTICIPACOES S.A.;ALEXENERGIAP;916130;31908068000105;Não Classificados;N/A
ALFA HOLDINGS S.A.;ALFA HOLDING;9954;17167396000169;Bancos;RPAD3, RPAD5, RPAD6
ALGAR TECNOLOGIA E CONSULTORIA  S.A.;ALGAR;900217;21246699000144;Não Classificados;N/A
ALGAR TELECOM S/A;ALGAR TELEC;21032;71208516000174;Telecomunicações;N/A
ALGAR TI CONSULTORIA S.A;ALGARTI;904102;5510654000189;Não Classificados;N/A
ALIANCA GERACAO DE ENERGIA S.A.;ALIANCA;900225;12009135000105;Não Classificados;N/A
ALIANCA TRANSPORTADORA DE GAS PARTICIPACOES S.A;ALIANCATRANS;910992;28760485000130;Não Classificados;N/A
ALISEO EMPREENDIMENTOS E PARTICIPACOES S.A.;ALISEO PART;917569;46155662000131;Não Classificados;N/A
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;ALLIAR;24058;42771949000135;Serv.Méd.Hospit..Análises e Diagnósticos;AALR3
ALLIED TECNOLOGIA S.A.;ALLIED;25330;20247322000147;Eletrodomésticos;ALLD3
ALLONDA AMBIENTAL PARTICIPAÇÕES S.A.;ALLONDA AMBI;914200;17718542000105;Não Classificados;N/A
ALLONDA AMBIENTAL SANEAMENTO S.A.;ALLONDAAMBIE;917362;17894611000123;Não Classificados;N/A
ALLOS S.A;ALLOS;22357;5878397000132;Exploração de Imóveis;ALOS3
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;ESTAPAR;24953;60537263000166;Serviços Diversos;ALPK3
ALMACENES EXITO S.A.;EXITO;80225;23041875000137;Alimentos;EXCO32
ALMADA ENERGIA RENOVAVEL S.A.;ALMADA ENERG;900436;47238842000140;Não Classificados;N/A
ALMEIDA JUNIOR SHOPPING CENTERS S.A.;ALMEIDA;900241;82120676000183;Não Classificados;N/A
ALPARGATAS S.A.;ALPARGATAS;10456;61079117000105;Calçados;ALPA3, ALPA4
ALPHAVILLE S.A.;ALPHAVILLE;25275;16811931000100;Incorporações;AVLL3, AVLL11, AVLL12
ALPHAVILLE URBANISMO S/A.;ALPHAVILLE U;900472;446918000169;Não Classificados;N/A
ALSOL ENERGIAS RENOVAVEIS S.A.;ALSOL;911123;15483161000150;Não Classificados;N/A
ALTHAIA S.A. INDÚSTRIA FARMACÊUTICA;ALTHAIA S.A.;27030;48344725000719;Medicamentos e Outros Produtos;N/A
ALTO ENERGIA RENOVÁVEL S.A;ALTO ENERGIA;900256;46614985000146;Não Classificados;N/A
ALUBAM PARTICIPACOES S/A;ALUBAM;900266;14327122000100;Não Classificados;N/A
ALUBAR METAIS E CABOS S.A.;ALUBARMETAIS;917461;8262121000113;Não Classificados;N/A
ALUMAZON COMPONENTES DA AMAZONIA S.A.;ALUMAZON;521019;4955456000166;Carga Inicial;N/A
ALUPAR INVESTIMENTO S/A;ALUPAR;21490;8364948000138;Energia Elétrica;ALUP3, ALUP4, ALUP11
ALUSA ENGENHARIA S.A.;ALUSAENG;900274;58580465000149;Não Classificados;N/A
ALVOAR LACTEOS NORDESTE S/A;ALVOAR LACT;910398;10483444000189;Não Classificados;N/A
AMAM PARTICIPACOES SPE S.A.;AMAM;900282;19165656000192;Não Classificados;N/A
AMATA  S.A.;AMATA;900035;7909776000178;Não Classificados;N/A
AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA S.A.;AM GER TRANS;913301;17957780000165;Não Classificados;N/A
AMAZONIA SOLAR SEC. DE CREDITOS FINANCEIROS;AMAZONIA SOL;916862;43102521000162;Não Classificados;N/A
